date,n,our_pts,rank,median,mean,sd,our_z,our_pctl,leader,podium_cut,gap_median,gap_podium,override_value
2026-06-14,27,15,20,19.0,18.963,5.6872,-0.6968,0.2963,28,26,-4,-11,-4
2026-06-16,27,28,21,32.0,32.3333,7.1414,-0.6068,0.2593,44,42,-4,-14,0
2026-06-19,27,65,21,69.0,70.2222,9.7205,-0.5372,0.2963,91,84,-4,-19,-9
2026-06-21,27,100,12,99.0,99.5185,12.2612,0.0393,0.7037,127,120,1,-20,-3
2026-06-23,27,133,8,128.0,128.0741,13.4477,0.3663,0.7407,152,150,5,-17,6
2026-06-24,27,151,6,142.0,140.8148,13.7618,0.7401,0.8148,164,162,9,-11,1
2026-06-25,27,168,8,158.0,157.963,14.651,0.6851,0.7407,185,177,10,-9,-2
2026-06-26,27,192,5,178.0,174.5926,16.106,1.0808,0.8889,200,196,14,-4,-2
2026-06-27,27,217,2,196.0,192.7778,17.8785,1.3548,0.963,220,216,21,1,1
2026-06-28,27,245,1,215.0,211.963,20.1847,1.6367,1.0,245,241,30,4,8
2026-06-30,27,264,1,229.0,224.6296,22.311,1.7646,1.0,264,255,35,9,13
2026-07-03,27,315,1,264.0,262.0741,24.7354,2.1397,1.0,315,301,51,14,23
2026-07-04,27,328,1,273.0,271.963,25.4822,2.1991,1.0,328,310,55,18,23
2026-07-05,27,336,1,279.0,278.9259,25.951,2.1993,1.0,336,318,57,18,23
2026-07-06,27,340,1,280.0,281.4444,25.646,2.2832,1.0,340,321,60,19,23
2026-07-09,27,352,1,289.0,289.5185,25.9354,2.4091,1.0,352,327,63,25,22
2026-07-11,27,365,1,302.0,299.963,26.7502,2.4313,1.0,365,335,63,30,22
